
*497 - CONDOMINIO EDIFICIO RES. SOLAR DO CANTO                                                       ;ARTUR LUIZ MARTINS BARBOSA ME 003559                                      ;3.1.1.51 - SERVICO HIDRAULICO                     ;270                 ;1599                ;INCLUSAO            ;29/10/2021          ;1635526146          ;          
#-PARCELA C 03 PINTURAS SOLO 08 EXT ABC 4KG NOVOS 02 EXT ABC 6KG NOVOS 01 EXT CO2 6KG NOVO 01 PLACA CENTRAL GAS;

*501 - CONDOMINIO PUNTA BLÚ MALL BOUTIQUE                                                            ;NORTE SUL MADEIREIRA LTDA ME 003045                                       ;3.1.1.51 - MATERIAL CONSTRUCAO                    ;R$1.262,25          ;5433                ;INCLUSAO            ;16/11/2021          ;1637063787          ;          
#-MADEIRAS                                                                                            ;

*245 - CONDOMINIO EDIFICIO RESIDENCIAL ESTRELA DO MAR II                                             ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;520,50              ;2472                ;INCLUSAO            ;16/11/2021          ;1637073149          ;          
#-CABO ALUMINIO E MOP E SACO LIXO E CLORO ETC
                                                       ;

*552 - CONDOMINIO RESIDENCIAL ILHA DE SANTORINI                                                      ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;214,50              ;2648                ;INCLUSAO            ;16/11/2021          ;1637073218          ;          
#-DETERGENTE E LIMP PERFUMADO E CABO ALU E SACO ETC                                                   ;

*506 - CONDOMINIO EDIFICIO DON JUAN RESIDENCE                                                        ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;438,00              ;2484                ;INCLUSAO            ;16/11/2021          ;1637073279          ;          
#-LIMPA VIDRO E LIMP PERF E ESSENCIA E PULVERIZADOR ETC                                               ;

*160 - CONDOMINIO EDIFICIO RESIDENCIAL ORLANDO TOBALDINI                                             ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;157,00              ;2483                ;INCLUSAO            ;16/11/2021          ;1637073331          ;          
#-LIMPA VIDRO E VEJA E PULV ETC                                                                       ;

*453 - CONDOMINIO RESIDENCIAL AURORA                                                                 ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;390,50              ;2482                ;INCLUSAO            ;16/11/2021          ;1637073402          ;          
#-CLORO E ESSENCIAS E OLEO PX E SACO ALVEJADO ETC                                                     ;

*508 - CONDOMINIO EDF. COSTA AZUL RESIDENCE                                                          ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;969,00              ;2481                ;INCLUSAO            ;16/11/2021          ;1637073464          ;          
#-CLORO E SACO LIXO E VASSOURA ETC                                                                    ;

*135 - CONDOMINIO RESIDENCIAL BRISAS DO MAR (BOMBAS)                                                 ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;325,50              ;2480                ;INCLUSAO            ;16/11/2021          ;1637073577          ;          
#-CLORO E PAP TOALHA E DETERGENTE ETC                                                                 ;

*472 - CONDOMINIO ED. RES. ALAMEDA VERDE                                                             ;AUTO FOSSA BOMBINHAS LTDA - ME 003812                                     ;3.1.1.07 - LIMPEZA FOSSA/CX GORDURA               ;800                 ;5423                ;INCLUSAO            ;16/11/2021          ;1637078513          ;s/n       
#-Limpeza de fossa carga grande
e duas caixas de gordura (não cobrou 1)                              ;

*456 - CONDOMINIO ED. RESIDENCIAL JARDIM QUATRO ILHAS                                                ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;465,50              ;2479                ;INCLUSAO            ;16/11/2021          ;1637080101          ;          
#-LIMPA VIDROS VASSOUR E SACO LIXO ETC                                                                ;

*495 - CONDOMINIO EDF. RESIDENCIAL RAVENNA                                                           ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;505,50              ;2478                ;INCLUSAO            ;16/11/2021          ;1637080194          ;          
#-ESPONJA E VASSOURA E PULVE E DETERGENTE CLORADO ETC                                                 ;

*053 - CONDOMINIO RESIDENCIAL DAS QUATRO ILHAS                                                       ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;539,50              ;2477                ;INCLUSAO            ;16/11/2021          ;1637080406          ;          
#-CLORO E LIMP PERFUMADO E MULTIUSO ETC                                                               ;

*155 - CONDOMINIO RESIDENCIAL ALBERTINO ANGELO                                                       ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;399,50              ;2476                ;INCLUSAO            ;16/11/2021          ;1637080505          ;          
#-PAPPEL HIGIENICO E LIMP PERFUMADO E CLORO ETC                                                       ;

*413 - CONDOMINIO RESIDENCIAL ALBERTINO ANGELO II                                                    ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;357,00              ;2475                ;INCLUSAO            ;16/11/2021          ;1637080576          ;          
#-LIMP PERFUMADO E DETERGENTE E SAPONACEO E LIMPA VIDROS ETC                                          ;

*510 - CONDOMINIO RESIDENCIAL ITALY                                                                  ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;273,50              ;2474                ;INCLUSAO            ;16/11/2021          ;1637080657          ;          
#-LIMP PERFUMADO E DET CLORADO E VASSOURA ETC                                                         ;

*110 - CONDOMINIO EDIFICIO CONDOMINIO GREEN HOUSE                                                    ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;406,00              ;2473                ;INCLUSAO            ;16/11/2021          ;1637080710          ;          
#-OLEO DE MADEIRA E LIMP PERFUMADO E CLORO E VINAGRE ETC                                              ;

*545 - CONDOMINIO VILLA LUNA                                                                         ;MAIRA CRISTINA PIRES 05301128922 001263                                   ;3.1.1.45 - MANUTENCAO JARDIM                      ;101,00              ;101286              ;INCLUSAO            ;16/11/2021          ;1637090202          ;          
#-01 inseticida, 06 madelesma, 10 mt delimitador, 10 temperos.                                        ;

*502 - CONDOMINIO PUNTA BLU RESIDENCE                                                                ;VERATONI MATERIAIS DE CONSTRUCAO 000085                                   ;3.1.1.51 - MATERIAL CONSTRUCAO                    ;294,56              ;497745              ;INCLUSAO            ;16/11/2021          ;1637096388          ;          
#-CARRO MAO / BROCA                                                                                   ;

*475 - CONDOMINIO BOULEVARD BOMBINHAS                                                                ;VERATONI MATERIAIS DE CONSTRUCAO 000085                                   ;3.1.1.51 - MATERIAL CONSTRUCAO                    ;1084,07             ;497272              ;INCLUSAO            ;17/11/2021          ;1637153566          ;          
#-PARAFUSO / BUCHA / TRINCHA/ BITS /LAMINA PARA ESTILETE/ BRITA/ PARAFUSO / PORCA/ ESTILETE / ANEL VEDAC./ SILICONE/ CLARIDECK 5L/ NOVODECK 5L / MASCARA/ LUV/ FITA VEDA ROSCA/ CX LUX;

*475 - CONDOMINIO BOULEVARD BOMBINHAS                                                                ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;413,70              ;16565               ;INCLUSAO            ;17/11/2021          ;1637160228          ;1A        
#-SACO PARA LIXO ESPONJA                                                                              ;

*149 - CONDOMINIO RESIDENCIAL AMARILIS                                                               ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;261,75              ;16563               ;INCLUSAO            ;17/11/2021          ;1637160274          ;1A        
#-LIMPADOR PERFUMADO DETERGENTE CLORO LIMPA VIDROS LUSTRA MOVEIS SAPONACEO SABAO E AROMATIZANTE       ;

*190 - CONDOMINIO ED. RES. COSTA BRAVA                                                               ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;37,90               ;16560               ;INCLUSAO            ;17/11/2021          ;1637160353          ;1A        
#-DISPENSER PARA SABONETE OU ALCOOL                                                                   ;

*502 - CONDOMINIO PUNTA BLU RESIDENCE                                                                ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;1000,50             ;16550               ;INCLUSAO            ;17/11/2021          ;1637160428          ;1A        
#-AGUA SANITARIA DESINFETANTE ALCOOL PERFUMADO DETERGENTE MULTIUSO ESPONJA ODORIZANTE LUVA PAPEL TOLAHA SUPORTE PARA FIBRAS;

*419 - CONDOMINIO RESIDENCIAL MARBELLA                                                               ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;213,85              ;16549               ;INCLUSAO            ;17/11/2021          ;1637160569          ;1A        
#-CLORO DETERGENTE E LIMPADOR PERFUMADO                                                               ;

*474 - CONDOMINIO RESIDENCIAL MARISTELA G. FERREIRA                                                  ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;444,90              ;16546               ;INCLUSAO            ;17/11/2021          ;1637160675          ;1A        
#-SACO PARA LIXO MULTIUSO DETERGENTE DESENGRIPANTE VENENO PARA LESMA ESPONJA ODORIZANTE SABAO LIMPA PORCELANATO ALCOOL PERFUMADO;

*120 - CONDOMINIO ED. ILHA DE BALI                                                                   ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;149,40              ;16538               ;INCLUSAO            ;17/11/2021          ;1637160770          ;1A        
#-ODORIZANTE E SACO PARA LIXO                                                                         ;

*558 - EDIFICIO MONTE CARLO RESIDENCE                                                                ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;103,85              ;16530               ;INCLUSAO            ;17/11/2021          ;1637160856          ;1A        
#-LIMPADOR PERFUMADO PULVERIZADOR ESPONJA SILICONE VASELINA E VASSOURA                                ;

*390 - CONDOMINIO RESIDENCIAL PANORAMA                                                               ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;455,35              ;16577               ;INCLUSAO            ;17/11/2021          ;1637160919          ;1A        
#-RODO VASSOURA SABAO PANOS MASCARA SACO PARA LIXO ODORIZANTE PULVERIZADOR OLEO  E ALCOOL             ;

*545 - CONDOMINIO VILLA LUNA                                                                         ;BOMBINHAS LIMP PRODUTOS DE LIMPEZA LTDA 001015                            ;3.1.1.31 - MATERIAL LIMPEZA                       ;54,85               ;16575               ;INCLUSAO            ;17/11/2021          ;1637160972          ;1A        
#-PASTA CRISTAL ALCOOL E                                                                              ;

*502 - CONDOMINIO PUNTA BLU RESIDENCE                                                                ;CASSOL TERRAPLAGEM PAPA ENTULHO 000203                                    ;3.1.1.51 - MATERIAL CONSTRUCAO                    ;1866,00             ;20566               ;INCLUSAO            ;17/11/2021          ;1637169705          ;          
#-cargas de barro e hora retroescavadeira                                                             ;

*420 - CONDOMINIO RESIDENCIAL SANTIAGO                                                               ;DISTRIBUIDORA DE GAS VALE DO RIO TIJUCAS LTDA 000067                      ;3.1.1.01 - ABASTECIMENTO GAS                      ;810,00              ;25699               ;INCLUSAO            ;17/11/2021          ;1637171584          ;17021     
#-2 p45                                                                                               ;

*448 - CONDOMINIO SOLAR DAS ILHAS                                                                    ;DISTRIBUIDORA DE GAS VALE DO RIO TIJUCAS LTDA 000067                      ;3.1.1.01 - ABASTECIMENTO GAS                      ;810,00              ;25695               ;INCLUSAO            ;17/11/2021          ;1637171663          ;16979     
#-2 p45                                                                                               ;

*432 - CONDOMINIO ED. RES. PATRICIA                                                                  ;DISTRIBUIDORA DE GAS VALE DO RIO TIJUCAS LTDA 000067                      ;3.1.1.01 - ABASTECIMENTO GAS                      ;405,00              ;25715               ;INCLUSAO            ;17/11/2021          ;1637171898          ;17369     
#-1 p45                                                                                               ;

*123 - CONDOMINIO RESIDENCIAL ACAPULCO                                                               ;DISTRIBUIDORA DE GAS VALE DO RIO TIJUCAS LTDA 000067                      ;3.1.1.01 - ABASTECIMENTO GAS                      ;810,00              ;25704               ;INCLUSAO            ;17/11/2021          ;1637172064          ;17142     
#-2 p45                                                                                               ;

*478 - CONDOMINIO ED. AREIA BRANCA                                                                   ;DISTRIBUIDORA DE GAS VALE DO RIO TIJUCAS LTDA 000067                      ;3.1.1.01 - ABASTECIMENTO GAS                      ;405,00              ;25702               ;INCLUSAO            ;17/11/2021          ;1637172157          ;17047     
#-1  p45                                                                                              ;

*120 - CONDOMINIO ED. ILHA DE BALI                                                                   ;DISTRIBUIDORA DE GAS VALE DO RIO TIJUCAS LTDA 000067                      ;3.1.1.01 - ABASTECIMENTO GAS                      ;870,00              ;74463               ;INCLUSAO            ;17/11/2021          ;1637172655          ;17019     
#-2 p45
1 pictel                                                                                     ;

*448 - CONDOMINIO SOLAR DAS ILHAS                                                                    ;DISTRIBUIDORA DE GAS VALE DO RIO TIJUCAS LTDA 000067                      ;3.1.1.01 - ABASTECIMENTO GAS                      ;810,00              ;25690               ;INCLUSAO            ;17/11/2021          ;1637172862          ;17020     
#-2 p45                                                                                               ;

*553 - CONDOMINIO ENSEADA DOS GALEOES                                                                ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;80,50               ;2488                ;INCLUSAO            ;17/11/2021          ;1637179204          ;          
#-CLORO E PULVE E LOUVA E ESPONJA ETC                                                                 ;

*507 - CONDOMINIO RESIDENCIAL VARANDAS DO ATLANTICO                                                  ;TUDO LIMPO 001932                                                         ;3.1.1.31 - MATERIAL LIMPEZA                       ;159,00              ;2489                ;INCLUSAO            ;17/11/2021          ;1637179261          ;          
#-CABO ALUMI E ESSENCIA E RODO ETC                                                                    ;

*523 - CONDOMINIO EDIFICIO RESIDENCIAL PORTO MADERO                                                  ;MCL COMERCIO E DIST. DE GAS LTDA 000386                                   ;3.1.1.01 - ABASTECIMENTO GAS                      ;430,00              ;33668               ;INCLUSAO            ;17/11/2021          ;1637186788          ;1A        
#-abastecimento 1 p45                                                                                 ;

*516 - CONDOMINIO RESIDENCIAL FLORES DE VENERANDA                                                    ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;520,00              ;959                 ;INCLUSAO            ;17/11/2021          ;1637196411          ;          
#-Troca 3 sensores , suporte portão garagem, fixar vidro fosso, 3 lampadas                            ;

*479 - CONDOMINIO RESIDENCIAL MORADAS                                                                ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ALVENARIA                      ;80,00               ;960                 ;INCLUSAO            ;17/11/2021          ;1637196477          ;          
#-Conserto reboco muro                                                                                ;

*534 - LA ROSADITA - ASS. DOS MOR. DA RUA BIGUA 336                                                  ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;130,00              ;961                 ;INCLUSAO            ;17/11/2021          ;1637196531          ;          
#-Troca sensor                                                                                        ;

*544 - CONDOMINIO RESIDENCIAL POSITANO                                                               ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ALVENARIA                      ;80,00               ;962                 ;INCLUSAO            ;17/11/2021          ;1637196595          ;          
#-Fixar caixa de correio e luminária                                                                  ;

*511 - CONDOMINIO RESIDENCIAL DONA ELIDA                                                             ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;130,00              ;963                 ;INCLUSAO            ;17/11/2021          ;1637196665          ;          
#-Destravar ponteira, testar boias e regular sensor                                                   ;

*429 - CONDOMINIO EDIFICIO RESIDENCIAL NONA MARTA                                                    ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO SERRALHERIA                    ;140,00              ;964                 ;INCLUSAO            ;17/11/2021          ;1637196744          ;          
#-Conserto portão garagem, suporte arrancado                                                          ;

*448 - CONDOMINIO SOLAR DAS ILHAS                                                                    ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;420,00              ;965                 ;INCLUSAO            ;17/11/2021          ;1637196833          ;          
#-20 lâmpadas dos corredores, 1 luminária led                                                         ;

*551 - CONDOMINIO EDIFICIO TERRA E MAR                                                               ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.41 - CONSERTO PORTAO                        ;200,00              ;966                 ;INCLUSAO            ;17/11/2021          ;1637196898          ;          
#-Regular portas do hall                                                                              ;

*515 - CONDOMINIO RESIDENCIAL AGUAS AZUIS                                                            ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;162,00              ;967                 ;INCLUSAO            ;17/11/2021          ;1637196975          ;          
#-Troca luminária led, fixar placa saída emergência                                                   ;

*410 - CONDOMINIO RES.CHARLOTTA                                                                      ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO HIDRAULICO                     ;80,00               ;968                 ;INCLUSAO            ;17/11/2021          ;1637197037          ;          
#-Torneira lava pés                                                                                   ;

*149 - CONDOMINIO RESIDENCIAL AMARILIS                                                               ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ALVENARIA                      ;3600,00             ;969                 ;INCLUSAO            ;17/11/2021          ;1637197135          ;          
#-Reparo estrutural com material                                                                      ;

*140 - CONDOMINIO EDIFICIO RESIDENCIAL BEIJA-FLOR II                                                 ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ALVENARIA                      ;1200,00             ;970                 ;INCLUSAO            ;17/11/2021          ;1637197216          ;          
#-Instalar antiderrapante escadas e fita fotoluminescentes, com material                              ;

*450 - CONDOMINIO RESIDENCIAL VILLA FIRENZE                                                          ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO PINTURA                        ;707,00              ;971                 ;INCLUSAO            ;17/11/2021          ;1637197284          ;          
#-Pintura demarcação garagens                                                                         ;

*512 - CONDOMINIO EDF. COSTA BRAVA RESIDENCE                                                         ;ARTUR LUIZ MARTINS BARBOSA ME 003559                                      ;3.1.1.51 - SERVICO HIDRAULICO                     ;1420,00             ;1602                ;INCLUSAO            ;18/11/2021          ;1637232224          ;          
#-LIMPEZA DE 3 CAIXAS DE 5 MIL L , LIMPEZA DE 2 CISTERNAS , INSTALAÇÃO DO BOMBA D AGUA PONTEIRA , LIMPEZA DO TERRAÇO TELHADO , SELAR BLINDEX DA AREA FESTAS;

*526 - CONDOMINIO RESIDENCIAL VILLA PARADISO                                                         ;EXTINFORT COMERCIO DE EQUIPAMENTOS DE SEGURANÇA LT 000991                 ;3.1.1.10 - EXTINTORES                             ;372,00              ;2251124407          ;INCLUSAO            ;18/11/2021          ;1637242514          ;1A        
#-01 CO2 4KG N2 09 PQSP 4KG N2 05 TESTES MANG 04 MANOMETROS                                           ;

*437 - CONDOMINIO EDIFICIO RESIDENCIAL BESENELLO                                                     ;HUGO MARIO VERGARA ME 000093                                              ;3.1.1.41 - CONSERTO PORTAO                        ;70,00               ;976                 ;INCLUSAO            ;18/11/2021          ;1637247068          ;8531      
#-CODIFICAÇÃO DE DOIS CHAVEIROS TAG PARA O APTO 201 BLOCO A.                                          ;

*529 - CONDOMINIO ED. BAYSIDE BEACH                                                                  ;PABLO FERNANDO DA SILVA AVILLA 04216802966 (MEI) 001328                   ;3.1.1.47 - LIMPEZA PISCINA                        ;300,00              ;2433                ;INCLUSAO            ;18/11/2021          ;1637247172          ;          
#-MENSALIDADE                                                                                         ;

*513 - CONDOMINIO COSTA BELLA RESIDENCE                                                              ;PABLO FERNANDO DA SILVA AVILLA 04216802966 (MEI) 001328                   ;3.1.1.47 - LIMPEZA PISCINA                        ;300,00              ;241                 ;INCLUSAO            ;18/11/2021          ;1637247235          ;          
#-MENSALIDADE                                                                                         ;

*550 - CONDOMINIO EDIFICIO AION SUITES BOMBINHAS                                                     ;PABLO FERNANDO DA SILVA AVILLA 04216802966 (MEI) 001328                   ;3.1.1.47 - LIMPEZA PISCINA                        ;500,00              ;2429                ;INCLUSAO            ;18/11/2021          ;1637247292          ;          
#-MENSALIDADE                                                                                         ;

*523 - CONDOMINIO EDIFICIO RESIDENCIAL PORTO MADERO                                                  ;PABLO FERNANDO DA SILVA AVILLA 04216802966 (MEI) 001328                   ;3.1.1.47 - LIMPEZA PISCINA                        ;500,00              ;2430                ;INCLUSAO            ;18/11/2021          ;1637247355          ;          
#-MENSALIDADE                                                                                         ;

*448 - CONDOMINIO SOLAR DAS ILHAS                                                                    ;PABLO FERNANDO DA SILVA AVILLA 04216802966 (MEI) 001328                   ;3.1.1.47 - LIMPEZA PISCINA                        ;300,00              ;688                 ;INCLUSAO            ;18/11/2021          ;1637247411          ;          
#-MENSALIDADE                                                                                         ;

*475 - CONDOMINIO BOULEVARD BOMBINHAS                                                                ;PABLO FERNANDO DA SILVA AVILLA 04216802966 (MEI) 001328                   ;3.1.1.47 - LIMPEZA PISCINA                        ;1600,00             ;689                 ;INCLUSAO            ;18/11/2021          ;1637247481          ;          
#-MENSALIDADE                                                                                         ;

*511 - CONDOMINIO RESIDENCIAL DONA ELIDA                                                             ;PABLO FERNANDO DA SILVA AVILLA 04216802966 (MEI) 001328                   ;3.1.1.47 - LIMPEZA PISCINA                        ;175,00              ;690                 ;INCLUSAO            ;18/11/2021          ;1637247563          ;          
#-MENSALIDADE                                                                                         ;

*534 - LA ROSADITA - ASS. DOS MOR. DA RUA BIGUA 336                                                  ;PABLO FERNANDO DA SILVA AVILLA 04216802966 (MEI) 001328                   ;3.1.1.47 - LIMPEZA PISCINA                        ;400,00              ;691                 ;INCLUSAO            ;18/11/2021          ;1637247657          ;          
#-MENSALIDADE                                                                                         ;

*515 - CONDOMINIO RESIDENCIAL AGUAS AZUIS                                                            ;PABLO FERNANDO DA SILVA AVILLA 04216802966 (MEI) 001328                   ;3.1.1.47 - LIMPEZA PISCINA                        ;300,00              ;693                 ;INCLUSAO            ;18/11/2021          ;1637247753          ;          
#-MENSALIDADE                                                                                         ;

*514 - CONDOMINIO EDIFICIO COSTA MEXICANA RESIDENCE                                                  ;AUTO FOSSA BOMBINHAS LTDA - ME 003812                                     ;3.1.1.07 - LIMPEZA FOSSA/CX GORDURA               ;350                 ;5442                ;INCLUSAO            ;18/11/2021          ;1637263856          ;s/n       
#-Serviço de hidrojateamento                                                                          ;

*501 - CONDOMINIO PUNTA BLÚ MALL BOUTIQUE                                                            ;OSCAR SUSSUMU SHINA MEI 000040                                            ;3.1.1.51 - SERVICO ELETRICO                       ;200                 ;808                 ;INCLUSAO            ;18/11/2021          ;1637271149          ;0         
#-VERIFICAR QUADRO GERAL DE ALARME E DISJUNTOR                                                        ;

*487 - CONDOMINIO EDIFICIO RESIDENCIAL PORTOFINO II                                                  ;OSCAR SUSSUMU SHINA MEI 000040                                            ;3.1.1.51 - SERVICO ELETRICO                       ;100                 ;807                 ;INCLUSAO            ;18/11/2021          ;1637271253          ;0         
#-VERIFICAR CONTATORA                                                                                 ;

*541 - CONDOMINIO VILA MALLORCA                                                                      ;OSCAR SUSSUMU SHINA MEI 000040                                            ;3.1.1.51 - SERVICO ELETRICO                       ;750                 ;806                 ;INCLUSAO            ;18/11/2021          ;1637271361          ;0         
#-MANUTENCAO NAS LUMINARIAS E SENSORES DE PRESENCA DAS ESCADARIAS E GARAGEM                           ;

*118 - CONDOMINIO ED. RESIDENCIAL SHANGRILA                                                          ;OSCAR SUSSUMU SHINA MEI 000040                                            ;3.1.1.51 - SERVICO ELETRICO                       ;300                 ;805                 ;INCLUSAO            ;18/11/2021          ;1637271467          ;0         
#-TROCA DE CONEXAO DA MOTO BOMBA E REPARO NO VAZAMENTO DO REGISTRO                                    ;

*448 - CONDOMINIO SOLAR DAS ILHAS                                                                    ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;280,00              ;972                 ;INCLUSAO            ;18/11/2021          ;1637277076          ;          
#-18 lâmpadas salão de festas                                                                         ;

*245 - CONDOMINIO EDIFICIO RESIDENCIAL ESTRELA DO MAR II                                             ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;180,00              ;973                 ;INCLUSAO            ;18/11/2021          ;1637277201          ;          
#-Conserto curto quadro de disjuntores                                                                ;

*390 - CONDOMINIO RESIDENCIAL PANORAMA                                                               ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - MATERIAL HIDRAULICO                    ;80,00               ;974                 ;INCLUSAO            ;18/11/2021          ;1637277331          ;          
#-Conserto cano água da chuva                                                                         ;

*471 - CONDOMINIO RESIDENCIAL SAGITARIUS                                                             ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO HIDRAULICO                     ;1650,00             ;975                 ;INCLUSAO            ;18/11/2021          ;1637277504          ;          
#-Limpeza cisterna, retirar plásticos soltos, limpeza caixas de agua                                  ;

*540 - CONDOMINIO RESIDENCIAL VILLAGE ECO PARK                                                       ;HIDRO BOMBINHAS 000066                                                    ;3.1.1.47 - LIMPEZA PISCINA                        ;118,00              ;11130               ;INCLUSAO            ;19/11/2021          ;1637325942          ;Não tem   
#-02 ELEVADOR DE ALCALINIDADE
02 BARRILHA
                                                          ;

*550 - CONDOMINIO EDIFICIO AION SUITES BOMBINHAS                                                     ;HIDRO BOMBINHAS 000066                                                    ;3.1.1.47 - LIMPEZA PISCINA                        ;134,00              ;11110               ;INCLUSAO            ;19/11/2021          ;1637326077          ;Não tem   
#-03 CLARIFICANTE MAXFLOC
02 ELEVADOR DE ALCALINIDADE                                                ;

*502 - CONDOMINIO PUNTA BLU RESIDENCE                                                                ;HIDRO BOMBINHAS 000066                                                    ;3.1.1.47 - LIMPEZA PISCINA                        ;646,00              ;11204               ;INCLUSAO            ;19/11/2021          ;1637326174          ;Não tem   
#-02 CLORO ADITIVADO                                                                                  ;

*550 - CONDOMINIO EDIFICIO AION SUITES BOMBINHAS                                                     ;HIDRO BOMBINHAS 000066                                                    ;3.1.1.47 - LIMPEZA PISCINA                        ;302,00              ;11253               ;INCLUSAO            ;19/11/2021          ;1637326311          ;Não tem   
#-06 DIMINUIDOR DE PH
03 LIMPA BORDAS
01 BARRILHA
01 FITA TESTE                                    ;

*491 - CONDOMINIO VILA QUATRO ILHAS                                                                  ;HIDRO BOMBINHAS 000066                                                    ;3.1.1.47 - LIMPEZA PISCINA                        ;467,00              ;11252               ;INCLUSAO            ;19/11/2021          ;1637326449          ;Não tem   
#-02 ELEVADOR DE ALCALINIDADE
01 CLORO 3 X 1 GENCO
01 FLUTUADOR                                     ;

*400 - CONDOMINIO PANORÂMICO BOMBINHAS                                                               ;HIDRO BOMBINHAS 000066                                                    ;3.1.1.47 - LIMPEZA PISCINA                        ;210,00              ;11312               ;INCLUSAO            ;19/11/2021          ;1637326545          ;Não tem   
#-01 CABO ALUMINIO 8 METROS                                                                           ;

*552 - CONDOMINIO RESIDENCIAL ILHA DE SANTORINI                                                      ;MIKAEL LUCAS DE SOUZA 001942                                              ;3.1.1.51 - MATERIAL ELETRICO                      ;105,50              ;16147               ;INCLUSAO            ;19/11/2021          ;1637329504          ;98867     
#-LAMP AVANT 2200K - R$ 31,90 UN
LED 18W - R$ 36,80 UN                                               ;

*526 - CONDOMINIO RESIDENCIAL VILLA PARADISO                                                         ;AUTO FOSSA BOMBINHAS LTDA - ME 003812                                     ;3.1.1.07 - LIMPEZA FOSSA/CX GORDURA               ;750                 ;5443                ;INCLUSAO            ;19/11/2021          ;1637350866          ;s/n       
#-Limpeza de fossa carga grande
Limpeza de 2 caixas de gordura (não cobrou 1)                        ;

